,surplus-region1,shortfall-region1,surplus-region2,shortfall-region2
01-01-2050 00:00,0,1.82926402,0,5.265609268
01-01-2050 01:00,0,2.947908472,0,5.349660474
01-01-2050 02:00,0,4.086192611,0,6.386800766
01-01-2050 03:00,0,3.967217119,0,5.512125738
01-01-2050 04:00,0,3.731620535,0,6.016955552
01-01-2050 05:00,0,3.945236273,0,6.869096474
01-01-2050 06:00,0,0.018974036,0,0.006625861
01-01-2050 07:00,3.524955173,0,7.148530793,0
01-01-2050 08:00,5.718073457,0,9.813533142,0
01-01-2050 09:00,6.306162229,0,9.406406576,0
01-01-2050 10:00,6.972117485,0,10.59810323,0
01-01-2050 11:00,6.930319132,0,13.57638593,0
01-01-2050 12:00,7.177301278,0,13.29034872,0
01-01-2050 13:00,6.903979937,0,11.60507423,0
01-01-2050 14:00,5.87111851,0,10.20326918,0
01-01-2050 15:00,4.578946348,0,7.310345193,0
01-01-2050 16:00,3.947857644,0,2.613917911,0
01-01-2050 17:00,0,-0.502345167,0,0.952318293
01-01-2050 18:00,0,2.951541283,0,11.96898045
01-01-2050 19:00,0,5.24727336,0,18.51012839
01-01-2050 20:00,0,5.752061564,0,18.70508084
01-01-2050 21:00,0,6.756773102,0,19.09094965
01-01-2050 22:00,0,7.671794546,0,14.58986179
01-01-2050 23:00,0,7.12694382,0,11.65759831
02-01-2050 00:00,0,7.374182977,0,11.16043548
02-01-2050 01:00,0,7.999580218,0,9.835801414
02-01-2050 02:00,0,7.905588055,0,8.296074226
02-01-2050 03:00,0,7.540259704,0,7.366852978
02-01-2050 04:00,0,7.070019474,0,6.332668939
02-01-2050 05:00,0,7.037460812,0,6.44989992
02-01-2050 06:00,0,2.276849241,0,3.10533913
02-01-2050 07:00,1.596153783,0,3.115292668,0
02-01-2050 08:00,3.010484133,0,7.119544062,0
02-01-2050 09:00,3.840588602,0,6.295523029,0
02-01-2050 10:00,4.905344402,0,7.643692921,0
02-01-2050 11:00,6.505196563,0,9.325723863,0
02-01-2050 12:00,6.493310928,0,10.37826033,0
02-01-2050 13:00,5.317377878,0,8.898219153,0
02-01-2050 14:00,3.973741329,0,8.2415942,0
02-01-2050 15:00,2.44173259,0,8.311613711,0
02-01-2050 16:00,0,0,7.591528258,0
02-01-2050 17:00,0,3.757085402,2.292645793,-3.757085402
02-01-2050 18:00,0,5.972499731,0,1.820776768
02-01-2050 19:00,0,8.046058243,0,10.70915501
02-01-2050 20:00,0,10.33838835,0,13.11270313
02-01-2050 21:00,0,10.39822151,0,12.16984197
02-01-2050 22:00,0,9.352001555,0,10.31120352
02-01-2050 23:00,0,8.578704052,0,8.76387921
03-01-2050 00:00,0,8.963097772,0,9.708583488
